0,147,120
0,146,119
0,145,119
0,142,119
0,141,119
0,137,119
0,136,119
0,133,119
0,132,119
0,128,119
0,127,119
0,124,119
0,123,119
0,119,119
0,118,119
0,115,119
0,114,119
0,110,119
0,109,119
0,106,119
0,105,119
0,101,119
0,100,119
0,97,119
0,96,119
0,92,119
0,91,119
0,88,119
0,87,119
0,84,119
0,83,119
1,147,120
1,149,118
1,149,117
1,149,113
1,149,112
1,149,109
1,149,108
1,149,105
1,149,104
1,149,101
1,149,100
1,149,96
1,149,95
1,149,92
1,149,91
1,149,88
1,149,87
1,149,84
1,149,83
1,149,79
1,149,78
1,149,75
1,149,74
1,149,71
1,149,70
1,149,67
1,149,66
1,149,63
1,149,62
1,149,59
1,149,58
1,149,55
1,149,54
2,217,120
2,215,119
2,214,119
2,211,119
2,210,119
2,206,119
2,205,119
2,202,119
2,201,119
2,197,119
2,196,119
2,193,119
2,192,119
2,189,119
2,188,119
2,185,119
2,184,119
2,180,119
2,179,119
2,176,119
2,175,119
2,172,119
2,171,119
2,168,119
2,167,119
2,163,119
2,162,119
2,159,119
2,158,119
2,155,119
2,154,119
2,151,119
2,150,119
3,148,185
3,149,183
3,149,182
3,149,179
3,149,178
3,149,174
3,149,173
3,149,170
3,149,169
3,149,165
3,149,164
3,149,161
3,149,160
3,149,157
3,149,156
3,149,153
3,149,152
3,149,148
3,149,147
3,149,144
3,149,143
3,149,139
3,149,138
3,149,135
3,149,134
3,149,130
3,149,129
3,149,126
3,149,125
3,149,122
3,149,121
